scaffold_1,1,yes
scaffold_3,2,yes
scaffold_2,3,yes
scaffold_4,4,yes
scaffold_4_arrow_ctg1,5,yes
scaffold_5_arrow_ctg1,6,yes
scaffold_6_arrow_ctg1,7,yes
scaffold_9_arrow_ctg1,8,yes
scaffold_10_arrow_ctg1,9,yes
scaffold_5,10,yes
scaffold_12_arrow_ctg1,11,yes
scaffold_14_arrow_ctg1,12,yes
scaffold_16_arrow_ctg1,13,yes
scaffold_17_arrow_ctg1,14,yes
scaffold_19_arrow_ctg1,15,yes
scaffold_21_arrow_ctg1,16,yes
scaffold_22_arrow_ctg1,17,yes
scaffold_23_arrow_ctg1,18,yes
scaffold_24_arrow_ctg1,19,yes
scaffold_25_arrow_ctg1,20,yes
scaffold_26_arrow_ctg1,21,yes
scaffold_27_arrow_ctg1,22,yes
scaffold_28_arrow_ctg1,23,yes
scaffold_29_arrow_ctg1,24,yes
