Super_Scaffold_17,1,yes
Super_Scaffold_21,2,yes
Super_Scaffold_22,3,yes
Super_Scaffold_13,4,yes
Super_Scaffold_12,5,yes
Super_Scaffold_19,6,yes
Super_Scaffold_4,7,yes
Super_Scaffold_10,8,yes
Super_Scaffold_16,9,yes
Super_Scaffold_14,10,yes
Super_Scaffold_3,11,yes
Super_Scaffold_23,12,yes
Super_Scaffold_18,13,yes
Super_Scaffold_2,14,yes
Super_Scaffold_6,15,yes
Super_Scaffold_11,16,yes
Super_Scaffold_5,17,yes
Super_Scaffold_1,18,yes
Super_Scaffold_15,19,yes
Super_Scaffold_9,20,yes
Super_Scaffold_20,21,yes
Super_Scaffold_7,22,yes
Super_Scaffold_8,24,yes
scaffold_320_arrow_ctg1,24,no
